address,squadron,prefund,ste,STE Real,tickets
terra129kdy7qdk5r4qgrenqdd6ftjjuvcc3hqsy0fgt,interstellars,10000,16367.331,16367.331,65
terra1td7jrnwq4r0mfsrtmpxw0e4xpzg2vupxg2qjd8,interstellars,10000,15333.28068,15333.28068,61
terra17fwxcxq69ef5mgwlvqjf6jexg3g0cd593c7dm8,interstellars,4000,15254.72176,15254.72176,61
terra1t5y2dmrt50ax5c8fvxk9lq4qtyftgz5n7fjd5z,interstellars,4500,14231.52203,14231.52203,56
terra1q02t6x062xkm6e0e0m7kddntfdfplcryq4uw0j,interstellars,2000,14075.71931,14075.71931,56
terra1283rejgpjwulxd0mldthy0wg9d9m5ytg49rc6n,interstellars,10000,13788.50311,13788.50311,55
terra1pfhwwrlqsc5pk39sc584rx37j4g6u8uwdz4hgu,interstellars,3000,13509.31265,13509.31265,54
terra1dljd99vrj4l96wh27x0ux7mmn6usnndewzujla,interstellars,2001,12939.36904,12939.36904,51
terra1z7nzydrpe08k6qk9eu3kcjslelkumrwhadn570,interstellars,10000,12505.90157,12505.90157,50
terra1esgccj6v7nhdvu9f8nyxtpyg6m3e2jx0mgcc9l,interstellars,10000,12165.36332,12165.36332,48
terra1e66g47axnt2uawz4qj9kv0r54sy3y5g90m9upf,interstellars,10000,10397.15223,10397.15223,41
terra1rgyuxr8wg0rclxls8vph5cpwmvfnftfgugugh8,interstellars,5000,9701.871869,9701.871869,38
terra15kcdq7g63d8sa7g8049a3uhjzr40la2vzz8wdc,interstellars,10000,9408.593755,9408.593755,37
terra13zxh59w60tu8qj2e3u9cdyrgghz3u9ew4hv7nv,interstellars,2000,9199.247008,9199.247008,36
terra1l7yaxuy5a7dnry4m7qtw9njn0zkdwrn9szkrhl,interstellars,10000,9190.653636,9190.653636,36
terra1yr28at3qa94wm2j4d70j2akgq6f3krap4ku4mn,interstellars,10000,8860.876651,8860.876651,35
terra1759mgef2ch59zd9xksrncld6z387e7m9cflmgu,interstellars,10000,8416.729765,8416.729765,33
terra1n0537z0ql6uk4e58fatncprsszrryj4nsjp59r,interstellars,5000,8177.419096,8177.419096,32
terra1pdaq9s0w3322yrumdlju4j5et70k35dafudc6e,interstellars,3000,7735.804264,7735.804264,30
terra1r4re8j9zgzwwhg4phn27e2v8a6avl4c035gxs0,interstellars,2222,7699.666105,7699.666105,30
terra1eq73n0u8kgzks84ztuatpvm7et8693cjwezj2r,interstellars,10000,7422.20249,7422.20249,29
terra1vy330pukhsfsqtdsv4dn396xdy99wd6vy3n6nr,interstellars,3000,7414.010871,7414.010871,29
terra13csdee7gguqr8emltpsklaew089c08rvs5d2ss,interstellars,3003,7357.11765,7357.11765,29
terra16hw950c7gznakfe5rcuj4dj8v94em9kdw9wak6,interstellars,10000,7302.196576,7302.196576,29
terra18skyqs8ghej7yu364gkj6feykee6r88hc56aqy,interstellars,5000,7074.108768,7074.108768,28
terra1fuz47jdstqqa29hq780ppz7d0tetnhjq2p7kgl,interstellars,4255,6791.986141,6791.986141,27
terra13pz4l9k63q0tuek9095vvnrr28jpr43pppqw7e,interstellars,4000,6751.869874,6751.869874,27
terra1efgvxvsvn3es2la5e4uthcs8yyd3ujs77ne9cx,interstellars,2000,6717.255393,6717.255393,26
terra1th2wtkygmzxkyn667c98p9w0ll557l33jwhpwm,interstellars,2000,6462.075594,6462.075594,25
