address,squadron,prefund,ste,STE Real,tickets
terra1qk47tyfs88v847pagth5ngw6zv7ehrd42sgn4v,lunatics,10000,16829.46062,16829.46062,67
terra1uv8pxssz0yh50unxw9uuy9q2neqk8esmhudr63,lunatics,5000,14721.88011,14721.88011,58
terra1le6tja8gp5rqta3lgu47axjg2r2xra87kwxncl,lunatics,5000,12998.175,12998.175,51
terra1ghwm750fd3a5mfcka8lsscudrjxxss89zx20kc,lunatics,2240,12320.74227,12320.74227,49
terra1nr8asystucn9r7f7ldwrmsqg2qkwn6gkyrzck4,lunatics,2000,11759.40598,11759.40598,47
terra1y6vs3s8r60xvht2623pv2ludjwzwmh7ul8vydr,lunatics,2000,11626.80781,11626.80781,46
terra1flx9d4jstlsqqn3rt43w6vkz744zq8vn832vhf,lunatics,2002,11136.45777,11136.45777,44
terra1g4a7fhwt6cft2myf3fne7vw5tfdkvyh95d3an6,lunatics,2010,10492.75238,10492.75238,41
terra17swcrqyzzq7de66eh92qyfwufgcc4hmpnvavf8,lunatics,3000,10401.65891,10401.65891,41
terra1nhz6pctaxkwruud7kf74z0q9h6jqsutp55ncla,lunatics,10000,10382.825,10382.825,41
terra14s3nyfue5hj759rxe0pu4xgfr0236kxp9qvadf,lunatics,10000,10381.29175,10381.29175,41
terra1s56kv3tveet3wvhw2rtw3ehre6fj56ljz94zqj,lunatics,10000,9739.156148,9739.156148,38
terra1vx6e3py0s0md6keg4cqhsg4hcnkh9m3d2pmzs0,lunatics,10000,9387.225951,9387.225951,37
terra1g6nualwjak4mqzeyx7mk5amv8tm375d4j4txk2,lunatics,3500,9253.09285,9253.09285,37
terra1lzrp6ufs6py4mdcy49dqdetq26eysp4h4uxcff,lunatics,10000,8599.128821,8599.128821,34
terra1t75533ka58e8u4g8qdtuustppzu4lmz6pn9xdr,lunatics,10000,8558.947776,8558.947776,34
terra1clrdpcm6rgcrfptxapudu4xetd677mkztluekg,lunatics,10000,8522.002845,8522.002845,34
terra1rgj2spjtf37thj3l450c68tfl0k50s92hepqhz,lunatics,4050.8,8478.39891,8478.39891,33
terra1wa6693v0xn66f8ph54m00ywg6j8xyynzgwahjl,lunatics,2000,8225.244407,8225.244407,32
terra1pk67kj6kpznyqt0re8wcqrmfy85ry8wdylcash,lunatics,9500,8112.413553,8112.413553,32
terra1g7dvv3jwf8jr570t795274nc9e9x4rs6m58vfw,lunatics,10000,7815.710673,7815.710673,31
terra1u3uszlwng9hpgkm36whu3tk7tz2qw3tv5kww0a,lunatics,10000,7795.404419,7795.404419,31
terra149ha8zjg2dkdwp3z4equ9rj29m3e224cps98tt,lunatics,8440,7375.355262,7375.355262,29
terra1dqefs9p64vqvvmler5xphjsrkhrujlz7us8t9y,lunatics,9999.887773,7279.960048,7279.960048,29
terra1gs6576l7aw5wt5lys9fgj4us5u6g2fsgptx6nf,lunatics,5000,7143.477384,7143.477384,28
terra1dhcj4lkls7xtkxvwjdscvsr5y53gsflmckeduw,lunatics,4150,6759.96266,6759.96266,27
terra1uz24ca25l3kltzgrtclwewdh58gk7kuxxs84dw,lunatics,2000,6705.213036,6705.213036,26
terra13u44f03u38wwy2juj6xn48p7zvv9cfxde4mz76,lunatics,5000,6565.884746,6565.884746,26
terra1lxhxjpmd9kx9h9eecmthygtdm9q44pucgdwvqa,lunatics,2000,6336.681103,6336.681103,25
terra1cussnpzm5q44w6ylgzgql80f25ufd6t479rkut,lunatics,10000,6279.034282,6279.034282,25
terra198ejlfn94zxmar8l9pkl2j2sn23ejlsq0z08na,lunatics,10000,6266.87801,6266.87801,25
terra1dva4d7ea9w3c58l7twp2qzun9dcy766c799szq,lunatics,5762.11275,6129.361199,6129.361199,24
terra1h6e3h0enqcrf293sn3cheh87j4cujttgz4f22k,lunatics,10000,6034.955081,6034.955081,24
terra1vn9rjj93mf4ks6wdl3wn9k6qa36cgzmttj7z2k,lunatics,3000,6003.183483,6003.183483,24
terra1ah5tzsvudzvnrkfsa9sf96fhdhk4wlwy3wrr94,lunatics,10000,5924.320711,5924.320711,23
terra199c809f5csy525sfw2u6e6qpjarz2zar32jlwz,lunatics,10000,5637.980205,5637.980205,22
terra10sm7w2szjdgw0saer9rv2xc8f7nqt79r5eghfs,lunatics,2001,5627.184724,5627.184724,22
terra1lz3vgfulenrhw6ynju348zpg53t45cz2uxeflz,lunatics,5000,5609.819181,5609.819181,22
terra1s2z5608wrtn4waqfsz5ugcs8qglp0kghp4zahc,lunatics,2000,5568.008434,5568.008434,22
terra1jztxyxd0lhx7rhe6pfk7n83dl95w259raq8tsj,lunatics,4000,5554.815528,5554.815528,22
terra16r3z2q9mkzhpjj4r5wuf3hjjmdvx9khfj2p87x,lunatics,2000,5542.983284,5542.983284,22
terra1ytl720fxgq4r85ljjp4kz7hq7gn2a66u7m4c45,lunatics,5002,5509.799245,5509.799245,22
terra1m4t3e8m4g8m95mpz779j49p76g9ad7at24qgu6,lunatics,10000,5472.795565,5472.795565,21
terra1w9a6agmgycusrghq7jzrgc90kqh7ftxafcy8sg,lunatics,5000,5398.67461,5398.67461,21
terra13xhg7qejqfwj7qrzc6hwrazcpdyqh6fvd37l4g,lunatics,2730,5344.353205,5344.353205,21
terra17l88cv6jezmty2jr3kcv5fsgkwu4s59fgwtwuj,lunatics,2200,5199.092939,5199.092939,20
terra1j83mfjwqxw3f2rjyk9af2l5whzk4ku54s7y7ua,lunatics,2000,5192.8625,5192.8625,20
terra1dyh999cuqjkhadpfhh878sar73mrzy65695309,lunatics,10000,5190.375938,5190.375938,20
terra1cxacltuzyxwg4phtlt2v9stumk3mewnzg0lpvd,lunatics,4000,5125.408846,5125.408846,20
terra16r4m47ppqcjylpuxrfyytdcct5e6zh53tuh6ed,lunatics,2230,5116.959146,5116.959146,20
terra10zt8j3l2p9dy24kdn8ctlupz9c0l0gtwar7nuv,lunatics,6500,5102.012504,5102.012504,20
terra1xes7sjlcnu5k948vpp55jf0pxrnc8rukwwz2tg,lunatics,2800,5009.450564,5009.450564,20
terra1vh3vftwpmpv7c0eeum80pdj4t5fj9c8u6cwqxy,lunatics,5000,5004.867517,5004.867517,20
terra1lztc7wd4qjt9uyk0snq3gwd9rnnvk9muw39kex,lunatics,4000,4915.018825,4915.018825,19
terra1hkv0hpsufywv3lgmz9mlej0mce3jc48zqs92a7,lunatics,10000,4881.369164,4881.369164,19
terra1s0qhzka2gmemk6h8ukh98muuwgkh8h6282akag,lunatics,4000,4722.77838,4722.77838,18
terra13uudctmtuvyjwzup9dfupnl7rnnejdsd50cfhn,lunatics,10000,4654.043001,4654.043001,18
terra1f67gfrfd8s8kfqnmsjtnww9gjwsz93n2fk5h8s,lunatics,5000,4601.603096,4601.603096,18
terra1m7zq63fx0738rywd9flqf8lxgrazzymc30lsdt,lunatics,10000,4592.277,4592.277,18
terra17nvqgw8yejrtksq4huacytrygvytss2yj0umxx,lunatics,9300,4546.360873,4546.360873,18
terra1u3eflzss8mpl72uvvd748p0kxwn5dezndxmg2s,lunatics,4000,4538.114608,4538.114608,18
terra1ap2xqvx5d25k2y695d6vljnjxnz362rrcqvaa0,lunatics,4500,4519.204736,4519.204736,18
terra1wfuddz20c4gd92awdueelzt5jmmeeytseuuwuz,lunatics,4000,4509.932385,4509.932385,18
terra1hrundzqtpnugwl9vyxw6w7x3wh5cceyltqnm9h,lunatics,2000,4503.34871,4503.34871,18
terra188lwxmnp72csjqtqy2ydt3lh2z8rgdlypgycmy,lunatics,5000,4499.999804,4499.999804,17
terra1mvq4q0zepjp0td42apueawacx86ryltx56fe4p,lunatics,2000,4425.378374,4425.378374,17
terra1dfzuy735czdszy57vtwc4ynju6qd98ajxv4cjm,lunatics,2000,4390.540274,4390.540274,17
terra1eky8v34e5zx24rwpw4zlwzf4d494umd8ff5uxc,lunatics,2000,4355.761018,4355.761018,17
terra1lfm4eeyfjuxqxk6rjnt8gxymwmn3dvmw4jv50g,lunatics,3000,4348.231502,4348.231502,17
terra1qqaz5jf0sz4reh5e8xm0hxtgjyymmnyhrej7pq,lunatics,10000,4308.188604,4308.188604,17
terra1qcdj2um20jsxflzxju8jea3z5lj6w6alfwgsgm,lunatics,2000,4281.53395,4281.53395,17
terra1ufyrfnruv9rc8fxnjfm3p8enu0pq0s5rqxqle2,lunatics,2500,4268.877385,4268.877385,17
terra1yewrfvm9ysh43p3rwqy9swj7sa4c5qef856a2k,lunatics,10000,4261.332445,4261.332445,17
terra1ty32vydkzqfwnn02xtpnuqlgsn5yrh3ppx3d58,lunatics,2000,4239.468248,4239.468248,16
terra1e7dz0yycxat8qgf9dj5u0t9f9aaflmdypegx08,lunatics,4505.643296,4215.450957,4215.450957,16
terra1je3s743jlls0c0qgl0qyqvc7sklwfcvyc57geq,lunatics,2000,4160.283676,4160.283676,16
terra1z59kgh0gjaxtpt7hxahdqylytwtgtq6v2utdqk,lunatics,10000,4154.098013,4154.098013,16
terra1zlxjh25qwq2kh90y89jg9mkjmta67c2vlyh5vz,lunatics,2000,4137.669703,4137.669703,16
terra1s7uk952d7amm94fyj5jqta4yu42wntsx5uf550,lunatics,2000,4113.581245,4113.581245,16
terra1kkrns8aez05vzvll46c3hlk7l9pnz6gp58xq38,lunatics,2720,4111.325407,4111.325407,16
terra1q5p2mj3z46wr98454hcrujr6p3xfyvmq6wvp90,lunatics,5000,4089.365111,4089.365111,16
terra1f3h97l504sm4eqyfdrxmw3qvpgw4rxw6h02rwv,lunatics,10000,4088.261562,4088.261562,16
terra1ew7pm6zsnft5un38evvl5qst2js8rhpvgk5chn,lunatics,8000,4079.420138,4079.420138,16
terra1l0a9tenqfmf388w5s72lfvm4xnz4wkexltyywv,lunatics,3200,4069.278962,4069.278962,16
terra1mtxlfukhpq9yd5kr4602qgq3rmuln4cu0teg4j,lunatics,2243.228825,4061.478976,4061.478976,16
terra1e5mqk7h4ns6336denve9lyt9cgej66c7lg6chj,lunatics,10000,4030.216237,4030.216237,16
terra1qw6f9z83zakd4wnfxgdydc2dfp659qjuq9qj47,lunatics,2000,4015.394149,4015.394149,16
terra1unfle5g9cxjrjrg9gc49tk9ah8md9x3afxyrjg,lunatics,2400,4014.313967,4014.313967,16
terra15p2gwtshgjqxeghxmkrdwnrn69eu2ccn6xzxhz,lunatics,2500,4013.512181,4013.512181,16
terra1pld5a44cyurpgp4ve4typd84d4m2v0nva32z7u,lunatics,2500,4010.713706,4010.713706,16
terra187jjtrwhrvnjwrj5u8nte20xr3qcnwzn336ng2,lunatics,2001,4006.748842,4006.748842,16
terra1mmc4ptuas23wl0ektyr3z093mgk862zhezccyg,lunatics,2200,4003.272119,4003.272119,16
terra106tu3ath9r8rrfkyj45rrlhpq2tcz9gm3me2a0,lunatics,10000,4002.400905,4002.400905,16
terra1qq9zx5pvag7mk5s0z5d2njz6sve7z7qcnd2p63,lunatics,2500,4002.13387,4002.13387,16
terra1r3yv8tp5th8gygqa2fdmgeaymhfqkh383cnjte,lunatics,2860,4001.997846,4001.997846,16
terra1fjs9tz4ctjsr6p9q6xexlt5y58xskj5m7xy5xd,lunatics,6000,4001.171609,4001.171609,16
terra1e0xfkmqqf89kkytderempzgch3y36mwcwqr3a7,lunatics,7000,4001,4001,16
terra17z8l64j3lr6mxrn6ltwgtxu2dxcswj2nk7a57p,lunatics,2500,4000.771799,4000.771799,16
terra149dss605rpuuxtzyxpxr2l50klauy00g9e9qln,lunatics,2000,4000.278267,4000.278267,16
terra13c4susmjwc90ahfy2eevyfrunx594yveyzfj3s,lunatics,4500,4000.107213,4000.107213,16
terra1g66p9avpt45h35kxllx3ajsyhhhzlyxd2nm4aj,lunatics,2010,3997.318315,3997.318315,15
terra1lqd85d2mnyl69w2phs77nyln49mk0p3tlcxqt7,lunatics,3500,3987.916848,3987.916848,15
terra15mvdx6ekh0gzfd43awa8xu493pgnczt76zlzse,lunatics,2000,3977.448866,3977.448866,15
terra16y53jvm0gg40gng83w34avfh69369nsxkpgvc6,lunatics,3000,3966.617031,3966.617031,15
terra1yuqtz4sxedpw4n9undn30g5gwxvh7jy6cmajrq,lunatics,2000,3962.989879,3962.989879,15
terra1qgnzhadyj3cqvk8jrtptcmvsjjywncnj4ada3d,lunatics,2000,3919.531921,3919.531921,15
terra156jj7zh288zew6rlyje7a5dcjzw7rkqtald5p8,lunatics,2550,3918.824462,3918.824462,15
terra1srw8tzwfnjpgxz8tm0905x3qupe9mg0cgj4n0a,lunatics,2000,3898.168431,3898.168431,15
terra1juwwwcfgh0x3awytlh63sgkg3y8uvvyf2gdsln,lunatics,2100,3884.551344,3884.551344,15
terra1uydyjpr8phfltk995964pc9xtuv6d3ctm6yaxg,lunatics,2000,3855.105338,3855.105338,15
terra14sn3e92lajwqj5a35fv8q8gmxlr45zp0lhktrl,lunatics,3000,3854.802497,3854.802497,15
terra1saaaee08d6vegt6q0vaccd3vkxngktdx334p84,lunatics,2500,3850.632613,3850.632613,15
terra1kzj2h6a46w80q08ulnzleqagk0cddn86m4vkgf,lunatics,2000,3824.028901,3824.028901,15
terra10jhal9rpn42nmfttc90zt8g979hzh2rfp5jyku,lunatics,2500,3821.588601,3821.588601,15
terra172lurymmllh392dquqq0wrc53ndrvhyxpu97pm,lunatics,10000,3810.800188,3810.800188,15
terra1m5353whvcmzfcrzykfj9xlu0ffn9pepy3eyzrv,lunatics,2000,3810.540736,3810.540736,15
terra1fatenyzevdqgx89g54zuytx3zz75tdxvsxgtm8,lunatics,5000,3804.545098,3804.545098,15
terra1cf03k52ya45rf7kmjzkq2mfkrl3zhgzpxtzjj9,lunatics,4000,3782.332707,3782.332707,15
terra1lah8q0ghxqflskwmstxpzafnv9kcxd077n3p5g,lunatics,4000,3775.665403,3775.665403,15
terra10hnwentn5jv2ckgxzvn3ujflyu63ky7j2ax8h0,lunatics,3425,3761.317896,3761.317896,15
terra1dxkde9cxuhjnavgqdz055d9t7z7x47n4w6r40w,lunatics,4250,3757.945795,3757.945795,15
terra1trlx8ay4je66qrg7ev8lfjecsqzkhp960gf74j,lunatics,2010,3751.507172,3751.507172,15
terra1hp0u6qwt290x66u694zw8tdehyxrcm5ntjxxzc,lunatics,5000,3751.088994,3751.088994,15
terra1vt25fslpw4dyh4lahmmqqymrpaa48wvnjlz9ng,lunatics,2350,3750.82863,3750.82863,15
