address,ste,tickets
terra1ll5yj745qa348ae08prkdqdf5ep9g5zg4jq453,251.23,1
terra1l7u75twcf7negcxvflz7908m0alq6ygl4p2xjd,438.56,1
terra1l7njp050gcf0y09xektyhc2t8r36vqju2fxz58,477.12,1
terra1l7xjnpv5rvuv9a5xnw6e73ez29tvf0qyzxrkkt,255,1
terra1lartaly7rds5jrak32ckwlshlfnug2veafz9g7,256.11,1
terra1lapqklts0e6ynke08ltpngrwt2kv4z3dz627nv,1268.61,5
terra1luk3um2rlguvxku3zsvjdd9jq2wnmv4gw2qd7q,250.27,1
terra1lufl5rdyrapgkzuavmrgp5ywfkdnsdjw5raq96,747.33,2
terra1lmkfhfuz7mgg68v35kwuqh9saf365zljz22e6f,250,1
terra1lhau53uhgf42vfz7vq0swpajkt8np5p9nxkm6g,251.10,1
terra1lk90ual3nkrhn6m2gldfp92mxjmdd9x6z6vn46,250.01,1
terra1l45aqcm2ly4krl98c7yrpr2ee63lwg7qqnd0f4,377.12,1
terra1l4xvnnf4yfm70awcy8r5drzj6wwlhy3x84tgy4,300.03,1
terra1l5urqvqthunnttvazje5mnvy5u2ltqvu0e0zwm,306.38,1
terra1l5m328wjvpc6jacjqgkwry86w3v27tr2qtcs5h,258.69,1
terra1l5kt5z60m7emz33mur6e0zjyupqtpjrpyaz9ay,396,1
terra1lnlhnktp98kearj046pc2w8alk2g7ajcchwg3n,251,1
terra1lj7rc6cvx3uty0lamv34rylfu2nu9fp8szr3ez,423.48,1
terra1lju77exfzfnqweah396vgrq879csacv727e3mc,255,1
terra1ljnt74ftwcuttlc34yxut66j2h0wthu3xdm0wn,520.47,2
terra1ljwgdr5he4gsjrjmdtj7herpj6nt56ghv3mmkp,265.84,1
terra1ljqclkzduxeqth93gs6zpn80xldx94fywfyqq3,256.36,1
terra1l3e0uaszmzf3ddtue3v7gwuxpmnepkttcvx8gm,251.33,1
terra1l35cj9an8lcs4kalkaezzvuaxfgdgdmu0nf6w0,268.58,1
terra1l3nfvuukyhm56aycxyu9kgvlqftdfzvxpcky45,253.75,1
terra1lsmhxrcvg6gqpqsutlgau676lgj9klvfcvdjs7,251.75,1
terra1lscw9wn359akme9c89lfdqzrzs9kqj08ctr2rm,315.82,1
