staker,lp,stt,ste,faction
terra1llcj7...4s6c,31,0,38.75,degens
terra1llywm...jrnz,4673.950439,102.022692,5944.460740750001,degens
terra1l775z...wl96,211.202157,5.049823,269.05251925,degens
terra1l7njp...xz58,90.204245,4.11622,116.87152625,degens
terra1l7qjn...c657,27.687238,10,44.6090475,degens
terra1la6mk...32s5,7.878601,0,9.84825125,degens
terra1la4zs...0tu7,0.201008,0.01,0.26126,degens
terra1lajac...exgg,221.458309,10.642984,287.46587025,degens
terra1lagrs...8kqm,2.023545,0.397234,2.92666525,degens
terra1lagq9...a72g,200.202592,200.365386,450.618626,degens
terra1larta...z9g7,175.930729,65.408839,285.32225025,degens
terra1lu600...ppfn,27.758081,3.591827,38.28942825,degens
terra1lu6tn...6ufp,2.099612,7,9.624515,degens
terra1lugl7...2usz,0.222819,0.019591,0.29811475,degens
terra1lugal...6h2d,8.343663,12.017388,22.44696675,degens
terra1lu80s...s6en,2.048014,1.955944,4.5159614999999995,degens
terra1luznx...w8nx,0.765894,0,0.9573674999999999,degens
terra1lm08u...astq,2420.011364,3.615308,3028.629513,degens
terra1l67c4...p6x8,1.003686,0.1,1.3546075000000002,degens
terra1l6kfe...xgtz,0.955562,0.01,1.2044525000000001,degens
terra1l63cn...75x8,0.180335,0.02,0.24541875,degens
terra1l6yz6...8tlz,0.502853,0.109734,0.73830025,degens
terra1levjx...zkz5,3.47136,10.020429,14.359629,degens
terra1lcd95...njf4,72.4966,0,90.62075,degens
terra1lcztn...qjjt,0.006406,0.002,0.0100075,degens
terra1lhms7...lr8e,2588.869973,115.608324,3351.69579025,degens
terra1lkcuc...5ery,0.041326,11,11.0516575,degens
terra1l47sz...clsv,1883.749796,593.90002,2948.587265,degens
terra1l4npg...dhrc,1645.870082,0,2057.3376025,degens
terra1l5m32...cs5h,206.955072,0,258.69384,degens
terra1l5nl4...49zl,78.381531,72.854854,170.83176774999998,degens
terra1l5jtr...lx9y,1741.932183,1,2178.41522875,degens
terra1l53yp...x3n2,2.21682,0,2.771025,degens
terra1l580w...63w4,0.216057,0.008102,0.27817325,degens
terra1lnsec...emt7,1.900751,81.988906,84.36484475,degens
terra1lntdy...qac7,0.381924,0.1,0.577405,degens
terra1lnt22...p6ty,19.291298,2.349021,26.4631435,degens
